player_name,season,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Ade Murkey,2022,24.0,1,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,2020,23.0,33,3.0,1.4,0.5,-7.1,0.017,0.106,0.118,0.502,0.057
Admiral Schofield,2022,25.0,38,3.8,2.3,0.7,-13.5,0.033,0.146,0.143,0.5379999999999999,0.084
Admiral Schofield,2023,26.0,37,4.2,1.7,0.8,-8.3,0.047,0.092,0.139,0.5870000000000001,0.103
Adonal Foyle,1998,23.0,55,3.0,3.3,0.3,-11.8,0.1119999999999999,0.182,0.162,0.418,0.037
Adonal Foyle,1999,24.0,44,2.9,4.4,0.4,-3.9,0.14,0.2019999999999999,0.126,0.45,0.049
Adonal Foyle,2000,25.0,76,5.5,5.6,0.6,-9.8,0.104,0.163,0.127,0.5,0.04
Adonal Foyle,2001,26.0,58,5.9,7.0,0.8,-11.7,0.1009999999999999,0.1889999999999999,0.139,0.422,0.052
Adonal Foyle,2002,27.0,79,4.8,4.9,0.5,-7.2,0.105,0.171,0.145,0.445,0.044
Adonal Foyle,2003,28.0,82,5.4,6.0,0.5,3.7,0.109,0.182,0.113,0.563,0.032
Adonal Foyle,2004,29.0,44,3.1,3.8,0.4,-5.2,0.104,0.222,0.135,0.471,0.05
Adonal Foyle,2005,30.0,78,4.5,5.5,0.7,-0.1,0.102,0.171,0.105,0.514,0.048
Adonal Foyle,2006,31.0,77,4.5,5.5,0.4,-0.3,0.086,0.165,0.102,0.524,0.0279999999999999
Adonal Foyle,2007,32.0,48,2.2,2.6,0.4,-3.2,0.1159999999999999,0.1689999999999999,0.106,0.557,0.054
Adonal Foyle,2008,33.0,82,1.9,2.5,0.2,0.4,0.107,0.195,0.123,0.4639999999999999,0.038
Adonal Foyle,2009,34.0,10,1.7,2.6,0.1,-3.7,0.138,0.258,0.12,0.623,0.0279999999999999
Adonis Jordan,1999,28.0,4,1.5,0.0,0.8,-36.4,0.0,0.0,0.185,0.521,0.273
Adonis Thomas,2014,21.0,6,2.3,0.5,0.5,10.8,0.0,0.091,0.184,0.485,0.115
Adreian Payne,2015,24.0,32,6.7,5.1,0.9,-16.9,0.073,0.186,0.176,0.4429999999999999,0.067
Adreian Payne,2016,25.0,52,2.5,2.1,0.6,-10.8,0.049,0.22,0.18,0.422,0.093
Adreian Payne,2017,26.0,18,3.5,1.8,0.4,0.8,0.069,0.2,0.2239999999999999,0.505,0.089
Adreian Payne,2018,27.0,5,4.2,1.8,0.0,-12.4,0.044,0.226,0.155,0.831,0.0
Adrian Caldwell,1997,30.0,45,2.2,3.7,0.3,-6.2,0.108,0.208,0.105,0.4429999999999999,0.03
Adrian Caldwell,1998,31.0,1,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0
Adrian Griffin,2000,25.0,72,6.7,5.2,2.5,-1.1,0.071,0.156,0.129,0.503,0.135
Adrian Griffin,2001,26.0,44,2.1,2.0,0.6,-4.9,0.077,0.2019999999999999,0.149,0.432,0.125
Adrian Griffin,2002,27.0,58,7.2,3.9,1.8,6.3,0.0559999999999999,0.129,0.1369999999999999,0.545,0.108
Adrian Griffin,2003,28.0,74,4.4,3.6,1.4,8.1,0.07,0.145,0.131,0.4629999999999999,0.111
Adrian Griffin,2004,29.0,19,0.6,1.0,0.5,-8.4,0.01,0.1669999999999999,0.093,0.278,0.132
Adrian Griffin,2005,30.0,69,2.2,2.1,0.8,3.6,0.081,0.156,0.139,0.419,0.134
Adrian Griffin,2006,31.0,52,4.6,4.4,1.7,9.1,0.075,0.148,0.1009999999999999,0.521,0.107
Adrian Griffin,2007,32.0,54,2.5,2.0,1.1,7.4,0.089,0.14,0.135,0.499,0.154
Adrian Griffin,2008,33.0,35,1.9,1.7,0.8,0.4,0.099,0.12,0.146,0.406,0.134
Ahmad Caver,2022,25.0,1,2.0,0.0,0.0,133.3,0.0,0.0,0.5,1.0,0.0
Al Harrington,1999,19.0,21,2.1,1.9,0.2,-8.3,0.132,0.148,0.21,0.359,0.06
Al Harrington,2000,20.0,50,6.6,3.2,0.8,6.0,0.066,0.151,0.201,0.524,0.073
Al Harrington,2001,21.0,78,7.5,4.9,1.7,0.5,0.074,0.151,0.187,0.479,0.1159999999999999
Al Harrington,2002,22.0,44,13.1,6.3,1.2,-1.3,0.084,0.151,0.218,0.526,0.073
Al Harrington,2003,23.0,82,12.2,6.2,1.5,2.8,0.075,0.162,0.218,0.493,0.089
Al Harrington,2004,24.0,79,13.3,6.4,1.7,1.8,0.078,0.175,0.231,0.514,0.107
Al Harrington,2005,25.0,66,17.5,7.0,3.2,-11.0,0.064,0.155,0.239,0.508,0.148
Al Harrington,2006,26.0,76,18.6,6.9,3.1,-5.8,0.0559999999999999,0.177,0.26,0.513,0.155
Al Harrington,2007,27.0,78,16.5,6.4,1.9,-0.8,0.064,0.157,0.2289999999999999,0.54,0.0969999999999999
Al Harrington,2008,28.0,81,13.6,5.4,1.6,3.0,0.05,0.175,0.211,0.547,0.089
Al Harrington,2009,29.0,73,20.1,6.2,1.4,-1.9,0.0409999999999999,0.162,0.256,0.547,0.068
Al Harrington,2010,30.0,72,17.7,5.6,1.5,-4.8,0.044,0.17,0.267,0.546,0.088
Al Harrington,2011,31.0,73,10.5,4.5,1.4,3.7,0.054,0.179,0.221,0.527,0.096
Al Harrington,2012,32.0,64,14.2,6.1,1.4,4.8,0.049,0.206,0.245,0.535,0.083
Al Harrington,2013,33.0,10,5.1,2.7,1.0,-16.0,0.061,0.214,0.249,0.434,0.141
Al Harrington,2014,34.0,34,6.6,2.4,0.8,4.1,0.036,0.157,0.228,0.506,0.089
Al Horford,2008,22.0,81,10.1,9.7,1.5,-2.4,0.113,0.247,0.162,0.539,0.078
Al Horford,2009,23.0,67,11.5,9.3,2.4,0.9,0.077,0.25,0.168,0.565,0.119
