PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name
202699,2024-25,00,1610612765,DET,32.0,2,2,70.0,9,22,0.409,3,9,0.333,2,2,1.0,1,6,7,5,1,2,3,4,23,Tobias Harris
1628404,2024-25,00,1610612752,NYK,29.0,2,2,61.0,12,21,0.571,1,8,0.125,7,10,0.7,4,10,14,6,1,0,4,1,32,Josh Hart
1630573,2024-25,00,1610612738,BOS,26.0,1,0,24.0,4,10,0.4,2,7,0.286,0,0,0.0,1,4,5,1,0,0,0,2,10,Sam Hauser
1641722,2024-25,00,1610612740,NOP,22.0,2,0,57.0,12,21,0.571,7,13,0.538,6,6,1.0,1,11,12,1,0,1,2,2,37,Jordan Hawkins
1629637,2024-25,00,1610612747,LAL,24.0,2,0,33.0,7,8,0.875,0,0,0.0,2,2,1.0,4,6,10,4,1,2,1,6,16,Jaxson Hayes
1630703,2024-25,00,1610612757,POR,20.0,2,0,56.0,14,27,0.519,1,8,0.125,8,10,0.8,1,4,5,10,3,0,5,5,37,Scoot Henderson
1641707,2024-25,00,1610612762,UTA,20.0,2,2,53.0,4,13,0.308,3,9,0.333,1,2,0.5,3,9,12,0,4,3,1,6,12,Taylor Hendricks
1629639,2024-25,00,1610612748,MIA,24.0,1,1,29.0,5,10,0.5,2,5,0.4,2,2,1.0,0,5,5,3,0,1,1,1,14,Tyler Herro
1627741,2024-25,00,1610612744,GSW,31.0,2,0,35.0,18,26,0.692,12,16,0.75,1,1,1.0,1,8,9,7,1,0,1,2,49,Buddy Hield
1629312,2024-25,00,1610612748,MIA,27.0,1,0,30.0,4,8,0.5,1,2,0.5,0,0,0.0,1,4,5,2,2,1,1,3,9,Haywood Highsmith
1628988,2024-25,00,1610612745,HOU,28.0,1,0,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,Aaron Holiday
201950,2024-25,00,1610612738,BOS,34.0,2,2,53.0,8,13,0.615,4,7,0.571,5,5,1.0,2,4,6,5,1,0,2,5,25,Jrue Holiday
